# 301 redirect map. Source of truth: data/redirects.json (executed in worker/index.ts). Extend after a full crawl of https://www.cocoa-linna.com/
"old_url","new_url","status","note"
"/index.html","/","301","legacy path → new structure"
"/home","/","301","legacy path → new structure"
"/en/index.html","/en","301","legacy path → new structure"
"/product","/products","301","legacy path → new structure"
"/products.html","/products","301","legacy path → new structure"
"/solution","/solutions","301","legacy path → new structure"
"/solutions.html","/solutions","301","legacy path → new structure"
"/news","/knowledge","301","legacy path → new structure"
"/blog","/knowledge","301","legacy path → new structure"
"/about.html","/about","301","legacy path → new structure"
"/contact.html","/contact","301","legacy path → new structure"
"/pure-chocolate","/products/couverture","301","legacy path → new structure"
"/compound-chocolate","/products/compound-chocolate","301","legacy path → new structure"
"/chocolate-sauce","/products/chocolate-sauce","301","legacy path → new structure"
